TORNEO FEDERAL A 2026 — Carga de Resultados,,,,,,,,,,,,,
N° Partido,Fecha,Fase,Día,Zona,Local,GF,GC,Visitante,Resultado,PTS Local,PTS Visit.,Árbitro,Penales
1,1,1F-RR2,20/03/2026,1,Sp. Belgrano,3,0,9 de Julio (R),L,3,0,Guillermo González,
2,1,1F-RR2,22/03/2026,1,Def. Villa Ramallo,2,1,Gimn. Concepción,L,3,0,Salomón Boseseldín,
3,1,1F-RR2,22/03/2026,1,Independiente (Chi),2,1,Escobar FC,L,3,0,Raúl Orlando Lungarzo,
4,1,1F-RR2,22/03/2026,1,El Linqueño,1,0,Sp. Las Parejas,L,3,0,Leonardo Costa,
5,1,1F-RR2,22/03/2026,1,Douglas Haig,2,1,Gimn. Chivilcoy,L,3,0,Miguel Morales,
6,1,1F-RR2,20/03/2026,2,Sarmiento (R),1,3,Juv. Antoniana,V,0,3,Nelson Bejas,
7,1,1F-RR2,22/03/2026,2,Tucumán Central,1,0,Bartolomé Mitre,L,3,0,Jorge Etem,
8,1,1F-RR2,22/03/2026,2,San Martín (For),2,1,Def. Vilelas,L,3,0,Leonardo Billanueva,
9,1,1F-RR2,22/03/2026,2,Boca Unidos,3,1,Sarmiento (LB),L,3,0,Fernando Rekers,
10,1,1F-RR2,20/03/2026,3,Atenas (RC),3,1,Cipolletti,L,3,0,Enzo Gutiérrez,
11,1,1F-RR2,20/03/2026,3,San Martín (Mdza),0,0,Juv. Unida (SL),E,1,1,Rodrigo Rivero,
12,1,1F-RR2,21/03/2026,3,Costa Brava,3,0,FADEP,L,3,0,Fernando Marcos,
13,1,1F-RR2,22/03/2026,3,Huracán (LH),0,0,Argentino MM,E,1,1,Maximiliano Silcan Jerez,
14,1,1F-RR2,22/03/2026,4,Sol de Mayo,1,1,Germinal,E,1,1,Ulises Jerónimo,
15,1,1F-RR2,22/03/2026,4,Kimberley,1,0,Villa Mitre,L,3,0,Leandro Sosa Abrile,
16,1,1F-RR2,22/03/2026,4,Olimpo,2,0,Alvarado,L,3,0,Nahuel Viñas,
17,1,1F-RR2,22/03/2026,4,Gmo. Brown,2,2,Santamarina,E,1,1,Pablo Núñez,
18,2,1F-RR2,29/03/2026,1,9 de Julio (R),3,2,Independiente (Chi),L,3,0,José Manuel Díaz,
19,2,1F-RR2,29/03/2026,1,Gimn. Chivilcoy,0,0,Sp. Belgrano,E,1,1,Enzo Gutiérrez,
20,2,1F-RR2,29/03/2026,1,Def. Villa Ramallo,3,1,El Linqueño,L,3,0,Franco Morón,
21,2,1F-RR2,29/03/2026,1,Gimn. Concepción,1,3,Douglas Haig,V,0,3,Fernando Rekers,
22,2,1F-RR2,30/03/2026,1,Escobar FC,1,1,Sp. Las Parejas,E,1,1,Lautaro Castañola,
23,2,1F-RR2,27/03/2026,2,Juv. Antoniana,2,1,Sol de América,L,3,0,Francisco Acosta,
24,2,1F-RR2,28/03/2026,2,Def. Vilelas,1,0,Tucumán Central,L,3,0,Franco Rioja,
