GOLES — Torneo Federal A 2026,,,,,,,
N° Partido,Fecha,Equipo Local,Equipo Visitante,Equipo que convierte,Jugador,Tiempo,Minuto
1,1,Sp. Belgrano,9 de Julio (R),Sp. Belgrano,Germán Lessman ,1T,10
1,1,Sp. Belgrano,9 de Julio (R),Sp. Belgrano,Agustin Pastorelli,1T,22
1,1,Sp. Belgrano,9 de Julio (R),Sp. Belgrano,Juan Bono,2T,6
2,1,Def. Villa Ramallo,Gimn. Concepción,Def. Villa Ramallo,Enzo Luna (p),1T,4
2,1,Def. Villa Ramallo,Gimn. Concepción,Gimn. Concepción, Nicolás Gómez,1T,18
2,1,Def. Villa Ramallo,Gimn. Concepción,Def. Villa Ramallo,Lautaro Principiano,1T,31
3,1,Independiente (Chi),Escobar FC,Escobar FC,Lucas Nuñez,1T,24
3,1,Independiente (Chi),Escobar FC,Independiente (Chi),Leonel Retamozo,1T,42
3,1,Independiente (Chi),Escobar FC,Independiente (Chi),Bruno Benítez,2T,2
4,1,El Linqueño,Sp. Las Parejas,El Linqueño,Mauricio Pavón Zárate,1T,33
5,1,Douglas Haig,Gimn. Chivilcoy,Douglas Haig,Jonatan Palacio,1T,3
5,1,Douglas Haig,Gimn. Chivilcoy,Gimn. Chivilcoy,Marcos Salvaggio,2T,14
5,1,Douglas Haig,Gimn. Chivilcoy,Douglas Haig,Lucas López,2T,31
6,1,Sarmiento (R),Juv. Antoniana,Juv. Antoniana,Matías Vicedo,1T,23
6,1,Sarmiento (R),Juv. Antoniana,Sarmiento (R),Max Pared,1T,39
6,1,Sarmiento (R),Juv. Antoniana,Juv. Antoniana,Pablo Palacios Alvarenga,2T,8
6,1,Sarmiento (R),Juv. Antoniana,Juv. Antoniana,Martín Esparza,2T,35
7,1,Tucumán Central,Bartolomé Mitre,Tucumán Central,Brahian Collante,2T,8
8,1,San Martín (For),Def. Vilelas,San Martín (For),Lautaro Ceratto,1T,41
8,1,San Martín (For),Def. Vilelas,San Martín (For),Agustín Griego,2T,13
8,1,San Martín (For),Def. Vilelas,Def. Vilelas,Gonzalo Ríos (p),2T,44
9,1,Boca Unidos,Sarmiento (LB),Boca Unidos,Lautaro Ludueña,1T,38
9,1,Boca Unidos,Sarmiento (LB),Sarmiento (LB),Israel Roldán,1T,46
9,1,Boca Unidos,Sarmiento (LB),Boca Unidos,Cristian Chávez,2T,5
9,1,Boca Unidos,Sarmiento (LB),Boca Unidos,Leandro Gómez,2T,45
10,1,Atenas (RC),Cipolletti,Atenas (RC),Paulo Oballes,1T,20
10,1,Atenas (RC),Cipolletti,Atenas (RC),Alejo Mainero,2T,1
10,1,Atenas (RC),Cipolletti,Cipolletti,Federico Acevedo,2T,14
10,1,Atenas (RC),Cipolletti,Atenas (RC),Juan Barrera,2T,32
12,1,Costa Brava,FADEP,Costa Brava,Joaquín Garoni,1T,39
12,1,Costa Brava,FADEP,Costa Brava,Mariano Rivadeneira,2T,9
12,1,Costa Brava,FADEP,Costa Brava,Jerónimo Gutiérrez,2T,40
14,1,Sol de Mayo,Germinal,Sol de Mayo,Héctor Morales,1T,38
14,1,Sol de Mayo,Germinal,Germinal,Nicolás Macarof,2T,46
15,1,Kimberley,Villa Mitre,Kimberley,Rodrigo Ríos,2T,35
16,1,Olimpo,Alvarado,Olimpo,Martín Ferreyra,2T,22
16,1,Olimpo,Alvarado,Olimpo,Diego Ramirez,2T,25
17,1,Gmo. Brown,Santamarina,Santamarina,Nicolás Franco,1T,30
17,1,Gmo. Brown,Santamarina,Gmo. Brown,Emanuel Moreno,1T,32
17,1,Gmo. Brown,Santamarina,Gmo. Brown,Ignacio Zapulla,2T,38
17,1,Gmo. Brown,Santamarina,Santamarina, Luciano Domínguez,2T,41
18,2,9 de Julio (R),Independiente (Chi),9 de Julio (R),Laureano Troncoso,1T,18
18,2,9 de Julio (R),Independiente (Chi),9 de Julio (R),Nicolás Del Sole (p),1T,29
18,2,9 de Julio (R),Independiente (Chi),Independiente (Chi),Francisco Aman,2T,21
18,2,9 de Julio (R),Independiente (Chi),9 de Julio (R),Tomás Bonilla,2T,27
18,2,9 de Julio (R),Independiente (Chi),Independiente (Chi),Francisco Aman,2T,41
20,2,Def. Villa Ramallo,El Linqueño,Def. Villa Ramallo,Tomás Bacas,1T,31
20,2,Def. Villa Ramallo,El Linqueño,Def. Villa Ramallo,Enzo Luna (p),1T,38
20,2,Def. Villa Ramallo,El Linqueño,El Linqueño,Facundo Meli,2T,11
20,2,Def. Villa Ramallo,El Linqueño,Def. Villa Ramallo,Mateo Tuset,2T,50
21,2,Gimn. Concepción,Douglas Haig,Douglas Haig,Lucas López,1T,2
21,2,Gimn. Concepción,Douglas Haig,Douglas Haig,Guillermo Pereira (p),1T,6
21,2,Gimn. Concepción,Douglas Haig,Douglas Haig,Joaquín Castellano,2T,14
21,2,Gimn. Concepción,Douglas Haig,Gimn. Concepción,Jonathan Benítez (p),2T,23
22,2,Escobar FC,Sp. Las Parejas,Escobar FC,Nicolás Cupolo,1T,2
22,2,Escobar FC,Sp. Las Parejas,Sp. Las Parejas,Julián Taverna,2T,5
23,2,Juv. Antoniana,Sol de América,Juv. Antoniana,Pablo Palacios Alvarenga,1T,13
23,2,Juv. Antoniana,Sol de América,Sol de América,Bruno Di Martino,1T,46
23,2,Juv. Antoniana,Sol de América,Juv. Antoniana,Pedro Muné,2T,40
24,2,Def. Vilelas,Tucumán Central,Def. Vilelas,Gonzalo Ríos,1T,6
25,2,Bartolomé Mitre,Boca Unidos,Bartolomé Mitre,Matías Espíndola,2T,21
26,2,Sarmiento (LB),Sarmiento (R),Sarmiento (LB),Carlos Nuñez,1T,22
26,2,Sarmiento (LB),Sarmiento (R),Sarmiento (R),Emiliano Bogado,2T,8
27,2,FADEP,Dvo. Rincón,FADEP,Brayam Sosa,1T,36
27,2,FADEP,Dvo. Rincón,FADEP,Nahuel Iribarren,2T,1
27,2,FADEP,Dvo. Rincón,Dvo. Rincón,Matías Domínguez,2T,13
27,2,FADEP,Dvo. Rincón,Dvo. Rincón,Juan Gabriel Albertinazzi,2T,36
28,2,Juv. Unida (SL),Huracán (LH),Juv. Unida (SL),Ezequiel Sosa,2T,14
28,2,Juv. Unida (SL),Huracán (LH),Juv. Unida (SL),Lautaro Lucero,2T,36
29,2,Cipolletti,San Martín (Mdza),Cipolletti,Federico Acevedo,1T,23
29,2,Cipolletti,San Martín (Mdza),Cipolletti,Martín Peralta,1T,46
29,2,Cipolletti,San Martín (Mdza),Cipolletti,Andrés Almirón,2T,21
31,2,Santamarina,Sol de Mayo,Sol de Mayo, Ignacio Lucero (e/c),1T,34
31,2,Santamarina,Sol de Mayo,Sol de Mayo,Santiago Jara,1T,44
33,2,Alvarado,Gmo. Brown,Alvarado,Facundo Centurion,1T,4
33,2,Alvarado,Gmo. Brown,Alvarado,Tomas Fernández,1T,25
34,2,Villa Mitre,Círculo Dep.,Villa Mitre,Pablo Mujica,2T,7
34,2,Villa Mitre,Círculo Dep.,Villa Mitre,Marcos Escobar,2T,42
35,3,Independiente (Chi),Gimn. Chivilcoy,Independiente (Chi),Leonel Retamozo,1T,20
35,3,Independiente (Chi),Gimn. Chivilcoy,Independiente (Chi),Tenca Hernández,1T,35
35,3,Independiente (Chi),Gimn. Chivilcoy,Independiente (Chi),Tenca Hernández,2T,15
36,3,El Linqueño,Escobar FC,El Linqueño,Nicolás Córdoba,1T,15
36,3,El Linqueño,Escobar FC,Escobar FC,Nahuel Luna,1T,44
36,3,El Linqueño,Escobar FC,El Linqueño,Lautaro Núñez,2T,15
37,3,Sp. Las Parejas,9 de Julio (R),Sp. Las Parejas,Leonardo Rolón,2T,8
37,3,Sp. Las Parejas,9 de Julio (R),9 de Julio (R),Leandro Larrea,2T,31
38,3,Douglas Haig,Def. Villa Ramallo,Douglas Haig,Guillermo Pereira,1T,9
38,3,Douglas Haig,Def. Villa Ramallo,Def. Villa Ramallo,Enzo Luna,1T,22
38,3,Douglas Haig,Def. Villa Ramallo,Douglas Haig,Jonatan Palacio,2T,2
